cnpj;nome;nome_reduzido;tipo;uf;situacao;banco;agencia;conta
20595230000158;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CARUARU;APAE DE CARUARU;apae;PE;;001;5742-8;11541-X
05111398000157;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CASTANHAL;APAE DE CASTANHAL;apae;PA;;001;0708-0;56559-8
75638437000154;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CASTRO;APAE DE CASTRO;apae;PR;;001;485-5;28469-6
06742803000106;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CEDRO;APAE DE CEDRO;apae;CE;;001;1293-9;16606-5
23094329000164;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CENTRALINA;APAE DE CENTRALINA;apae;MG;;756;4264;127915-7
77293355000140;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CEU AZUL;APAE DE CEU AZUL;apae;PR;;001;1770-1;17155-7
10957071000130;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CHAVAL;APAE DE CHAVAL;apae;CE;;001;3971-3;11288-7
80871361000142;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CHOPINZINHO;APAE DE CHOPINZINHO;apae;PR;;001;0842-7;34664-0
01301167000155;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE COLIDER;APAE DE COLIDER;apae;MT;;001;1779-5;41171-X
02726761000150;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE COLMEIA;APAE DE COLMEIA;apae;TO;;001;1306-4;25993-4
12647998000108;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE COLNIZA;APAE DE COLNIZA;apae;MT;;756;3271;82195-0
04583879000100;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE COMODORO;APAE DE COMODORO;apae;MT;;001;1272-6;20056-5
17769407000180;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CONCEICAO DAS ALAGOAS;APAE DE CONCEICAO DAS ALAGOAS;apae;MG;;756;4264-9;000074855-2
36573764000113;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CONCEICAO DE MACABU;APAE DE CONCEICAO DE MACABU;apae;RJ;;479;6129;01075-4
01131133000160;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CONCEICAO DO ARAGUAIA;APAE DE CONCEICAO DO ARAGUAIA;apae;PA;;748;0804;26518-5
21961618000198;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CONFRESA;APAE DE CONFRESA;apae;MT;;748;0806;81178-5
08083742000130;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CONQUISTA;APAE DE CONQUISTA;apae;MG;;748;35005-5;3188
80881345000130;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CORBELIA;APAE DE CORBELIA;apae;PR;;001;1797-3;22981-4
22238505000121;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE COROMANDEL;APAE DE COROMANDEL;apae;MG;;104;1697;2421-8
80870397000101;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CORONEL VIVIDA;APAE DE CORONEL VIVIDA;apae;PR;;001;2008-7;33781-1
07388465000100;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CRATO;APAE DE CRATO;apae;CE;;001;0094-9;43803-0
04926760000185;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CRUZEIRO DA FORTALEZA;APAE DE CRUZEIRO DA FORTALEZA;apae;MG;;001;1067-7;17475-0
